
time,open,high,low,close,volume,volCcy
1656136800000,21217.7,21310,21179.9,21301.1,404714,4047.14
1656133200000,21234.9,21329.1,21210,21217.7,248144,2481.44
1656129600000,21302.9,21314.8,21204.2,21234.9,264213,2642.13
1656126000000,21176.1,21350,21151.5,21302.8,389236,3892.36
1656122400000,21326.2,21382.2,21155.1,21176.1,420151,4201.51
1656118800000,21191.4,21345,21146.2,21326.2,316120,3161.2
1656115200000,21237.2,21318.8,21130,21191.6,677574,6775.74
1656111600000,21310.3,21393,21190.1,21237.8,445035,4450.35
1656108000000,21314.1,21562.9,21292.4,21307.6,665448,6654.48
1656104400000,21199.9,21370,21183.3,21312.8,261976,2619.76
1656100800000,21253,21345,21141.3,21199.9,502239,5022.39
1656097200000,21129.8,21266.5,21020.9,21250.8,437111,4371.11
1656093600000,20972,21145.1,20900.6,21129.8,374752,3747.52
1656090000000,21043.5,21234,20921.3,20972,872202,8722.02
1656086400000,20888.2,21075,20790,21044.9,783027,7830.27
1656082800000,21125.8,21130,20824.2,20892.8,1092454,10924.54
1656079200000,21197.4,21384,21059.7,21126.3,805544,8055.44
1656075600000,21215.6,21382,21135.2,21195.4,791586,7915.86
1656072000000,21171,21468.1,21074.8,21215.6,1383914,13839.14
1656068400000,20994.8,21333,20978.9,21171,1384250,13842.5
1656064800000,20827,21010.7,20791.8,20995,463276,4632.76
1656061200000,21050,21075,20738,20827,572785,5727.85
1656057600000,20909.8,21100,20897,21051.2,566758,5667.58
1656054000000,20841.5,20982.6,20728,20909.7,672856,6728.56
1656050400000,20916.4,20962.9,20777,20840.4,649718,6497.18
1656046800000,21049.5,21170,20850,20919.9,501344,5013.44
1656043200000,21074,21150,20977,21049.5,387511,3875.11
1656039600000,21175.4,21268.8,21033,21074,563395,5633.95
1656036000000,21049.1,21367.1,21015.6,21175.9,723192,7231.92
1656032400000,21007.2,21183.9,20983.6,21049,414250,4142.5
1656028800000,21107,21200.1,20966.8,21007,604514,6045.14
1656025200000,20992,21211.6,20976.1,21106.9,527021,5270.21
1656021600000,20688.2,21246.5,20683,20992.1,1295666,12956.66
1656018000000,20818.7,20855,20670,20688.3,341314,3413.14
1656014400000,20912.4,21171.8,20750.1,20820.2,1155257,11552.57
1656010800000,20433.5,20951.7,20395.9,20914.2,1144762,11447.62
1656007200000,20321.7,20466.4,20287.4,20433.5,360020,3600.2
1656003600000,20288.3,20391.8,20164.8,20324,491728,4917.28
1656000000000,20354.3,20372.3,20207.7,20287.2,520498,5204.98
1655996400000,20608.4,20619.7,20282.7,20354.3,819614,8196.14
1655992800000,20456.8,20615,20390.8,20607.2,726081,7260.81
1655989200000,20561.7,20655.8,20382.6,20459.5,969678,9696.78
1655985600000,20640.5,20837.1,20486,20561.7,1078501,10785.01
1655982000000,20692.9,20718.3,20595,20640.6,321374,3213.74
1655978400000,20745.6,20810,20670.2,20695.3,820749,8207.49
1655974800000,20568.4,20790,20481,20742.9,871753,8717.53
1655971200000,20454.8,20650,20448.7,20570.3,632656,6326.56
1655967600000,20542.9,20624.1,20420.9,20454.8,491602,4916.02
1655964000000,20351.1,20652.3,20292.9,20542.8,877130,8771.3
