,time,open,high,low,close,vol,volCcy,MA5,MA10,MA60
37,2022-05-24 16:00:00,29396.8,30238.0,29080.0,29622.2,11050393,110503.93,29214.76,29923.23,
38,2022-05-23 16:00:00,30367.5,30535.1,28650.0,29396.8,11987499,119874.99,29251.32,29912.410000000003,
39,2022-05-22 16:00:00,29854.6,30675.0,29742.0,30365.0,9479392,94793.92,29526.52,29928.280000000006,
40,2022-05-21 16:00:00,29547.3,30330.0,29252.8,29854.6,6892474,68924.74,29726.440000000002,29838.03,
41,2022-05-20 16:00:00,29153.1,29658.7,28707.0,29547.2,7140707,71407.07,29757.159999999996,29587.49,
42,2022-05-19 16:00:00,30386.5,30777.8,29060.0,29156.0,12018889,120188.89,29663.920000000002,29439.340000000004,
43,2022-05-18 16:00:00,28984.0,30550.0,28641.5,30386.5,12524623,125246.23,29861.860000000004,29556.590000000004,
44,2022-05-17 16:00:00,30156.2,30718.7,28869.0,28986.5,10185616,101856.16,29586.160000000003,29556.340000000004,
45,2022-05-16 16:00:00,29673.3,30790.0,29040.4,30160.0,9450533,94505.33,29647.24,29686.840000000004,
46,2022-05-15 16:00:00,30020.0,31494.7,29300.0,29673.3,12149481,121494.81,29672.46,29714.809999999998,
47,2022-05-14 16:00:00,28815.9,30566.0,28614.0,30019.9,8740144,87401.44,29845.24,29754.580000000005,
48,2022-05-13 16:00:00,30357.2,30534.9,28653.8,28816.4,8595490,85954.9,29531.22,29696.539999999997,
49,2022-05-12 16:00:00,29034.9,31111.0,28011.0,30353.0,13651843,136518.43,29804.52,29695.339999999997,
50,2022-05-11 16:00:00,30981.7,31131.6,26642.2,29030.4,30212144,302121.44,29578.6,29612.920000000002,
51,2022-05-10 16:00:00,31326.0,32190.0,29014.6,30980.5,24524677,245246.77,29840.04,29756.25,
52,2022-05-09 16:00:00,32360.1,32666.0,29713.0,31317.8,33441969,334419.69,30099.620000000003,29972.43,
53,2022-05-08 16:00:00,34370.0,34770.0,32050.0,32360.0,21957495,219574.95,30808.340000000004,30169.78,
54,2022-05-07 16:00:00,35962.3,36006.1,34137.0,34363.7,11961167,119611.67,31610.48,30707.5,
55,2022-05-06 16:00:00,35999.9,36238.0,35705.1,35967.5,3951524,39515.24,32997.9,31288.25,
56,2022-05-05 16:00:00,36900.0,37333.0,35237.6,36000.0,16312371,163123.71,34001.8,31920.920000000002,
57,2022-05-04 16:00:00,38986.0,40068.0,36270.1,36899.9,15090418,150904.18,35118.219999999994,32608.919999999995,
58,2022-05-03 16:00:00,38332.2,39180.0,37514.0,38986.1,8207324,82073.24,36443.439999999995,33625.89,
59,2022-05-02 16:00:00,38698.6,38925.9,38041.6,38332.2,5588815,55888.15,37237.14,34423.81,27697.045
60,2022-05-01 16:00:00,38490.9,39239.9,37666.0,38698.6,9754485,97544.85,37783.36,35390.63,28020.538333333334
61,2022-04-30 16:00:00,38464.4,38640.0,37367.2,38490.8,5843584,58435.84,38281.520000000004,36141.659999999996,28343.008333333335
62,2022-04-29 16:00:00,39006.6,39072.1,38140.5,38464.4,5758015,57580.15,38594.42,36856.32,28649.311666666665
63,2022-04-28 16:00:00,39449.0,40378.0,38618.5,39006.6,10089466,100894.66,38598.520000000004,37520.979999999996,28955.891666666666
64,2022-04-27 16:00:00,39018.9,40437.6,38667.3,39452.9,10456760,104567.6,38822.66,38029.9,29267.456666666665
65,2022-04-26 16:00:00,38550.2,39487.4,37682.8,39018.9,14452167,144521.67,38886.72,38335.03999999999,29562.318333333333
66,2022-04-25 16:00:00,38986.6,40830.3,38499.9,38550.2,11125975,111259.75,38898.6,38590.06,29855.43666666667
67,2022-04-24 16:00:00,39660.0,39800.0,38166.0,38986.5,12532108,125321.08,39003.020000000004,38798.72,30156.998333333337
68,2022-04-23 16:00:00,39768.3,39974.6,39331.2,39656.6,4546126,45461.26,39133.02,38865.77,30478.70333333333
69,2022-04-22 16:00:00,39437.1,39875.0,39131.6,39768.3,4916215,49162.15,39196.1,39009.380000000005,30806.706666666665
70,2022-04-21 16:00:00,42153.3,42192.6,39322.3,39437.1,11508877,115088.77,39279.740000000005,39083.229999999996,31107.383333333335
71,2022-04-20 16:00:00,41273.8,42984.9,40850.0,42150.1,8515020,85150.2,39999.719999999994,39449.159999999996,31462.801666666663
72,2022-04-19 16:00:00,41460.3,42216.8,41067.0,41274.2,7052658,70526.58,40457.259999999995,39730.14,31820.311666666665
73,2022-04-18 16:00:00,39256.2,41767.9,39019.7,41462.8,9252817,92528.17,40818.5,39975.759999999995,32195.383333333335
74,2022-04-17 16:00:00,40439.2,40470.9,38496.0,39256.2,8530328,85303.28,40716.08,39956.09,32505.18833333333
75,2022-04-16 16:00:00,40073.3,40699.0,40010.0,40439.2,3417867,34178.67,40916.5,40098.12,32827.83833333333
76,2022-04-15 16:00:00,40413.6,40734.9,39977.8,40073.3,3748163,37481.63,40501.14,40250.43,33138.698333333334
77,2022-04-14 16:00:00,39983.9,40890.7,39546.0,40413.7,6547684,65476.84,40329.04,40393.15,33434.064999999995
78,2022-04-13 16:00:00,41156.9,41570.7,39941.3,39985.3,7734356,77343.56,40033.54,40426.020000000004,33712.64
79,2022-04-12 16:00:00,40189.1,41419.1,39251.2,41149.4,9666304,96663.04,40412.18,40564.13,33930.30666666667
80,2022-04-11 16:00:00,40566.4,40899.0,39145.0,40189.2,15443751,154437.51,40362.18000000001,40639.340000000004,34126.6
81,2022-04-10 16:00:00,42745.0,43439.9,40538.9,40566.3,12839098,128390.98,40460.78,40480.96000000001,34311.835
82,2022-04-09 16:00:00,42357.3,42888.0,42178.1,42745.0,4056033,40560.33,40927.04,40628.04,34519.14166666667
83,2022-04-08 16:00:00,43658.1,43725.2,42100.9,42377.3,7943200,79432.0,41405.44,40719.49,34717.45166666667
84,2022-04-07 16:00:00,43333.0,43985.4,42733.4,43658.1,8691268,86912.68,41907.18000000001,41159.68000000001,34946.95166666667
85,2022-04-06 16:00:00,44178.7,44288.0,42716.6,43334.3,10561804,105618.04,42536.2,41449.19,35143.49166666667
86,2022-04-05 16:00:00,45755.0,46188.0,43708.2,44178.7,12838732,128387.32,43258.68000000001,41859.73,35380.36
87,2022-04-04 16:00:00,45644.9,47200.0,45074.2,45755.0,11471119,114711.19,43860.68000000001,42393.86,35645.41
88,2022-04-03 16:00:00,46419.4,47464.5,45550.0,45643.0,10928243,109282.43,44513.81999999999,42959.630000000005,35914.37666666667
89,2022-04-02 16:00:00,46301.4,46740.4,45528.6,46419.4,7381216,73812.16,45066.08,43486.63,36184.595
90,2022-04-01 16:00:00,46534.9,47259.0,45908.8,46301.5,9149930,91499.3,45659.520000000004,44097.86,36443.668333333335
91,2022-03-31 16:00:00,46460.2,46725.2,44207.4,46533.2,16683780,166837.8,46130.42,44694.55,36685.011666666665
92,2022-03-30 16:00:00,47173.9,47693.1,46222.0,46459.0,9802468,98024.68,46271.219999999994,45065.95,36948.70333333333
93,2022-03-29 16:00:00,47443.0,47877.3,46510.0,47173.9,9657695,96576.95,46577.4,45545.61,37248.035
94,2022-03-28 16:00:00,47428.8,48195.2,46879.0,47440.3,9936846,99368.46,46781.58,45923.83,37555.556666666664
95,2022-03-27 16:00:00,44861.5,47944.0,44657.3,47428.9,14084917,140849.17,47007.06,46333.28999999999,37865.121666666666
96,2022-03-26 16:00:00,44210.2,44959.0,44130.0,44861.5,5852778,58527.78,46672.72,46401.56999999999,38122.92
97,2022-03-25 16:00:00,44339.9,44610.6,44012.9,44210.2,6058331,60583.31,46222.96000000001,46247.09,38366.05333333334
98,2022-03-24 16:00:00,43987.9,45090.1,43581.1,44339.9,12912653,129126.53,45656.16,46116.780000000006,38615.104999999996
99,2022-03-23 16:00:00,42614.6,44049.4,42030.2,43988.0,12556855,125568.55,44965.7,45873.64,38842.155
